class,shoulderLangle,shoulderRangle,elbowLangle,elbowRangle,hipLangle,hipRangle,kneeLangle,kneeRangle
arkaKol,22.584829492520104,24.13538377026706,173.68358678620245,152.4246963561602,158.82760621048752,167.61263227657025,78.50950313208301,77.482787281497
arkaKol,21.15551396579697,23.46896614445162,162.5734539946709,151.5994139014386,157.77782754258186,166.10160122605183,79.05450618219383,78.12940452090307
arkaKol,18.209626181600697,23.039438740775697,171.0979504691181,151.1188964805477,160.04228414990752,167.60769142506464,77.09521562175476,76.58022270029474
arkaKol,18.67115336469362,21.17606362051652,168.5909838746737,150.04072579421796,159.51394063158315,168.01263491502954,77.28030445726974,76.26111200861546
arkaKol,22.719032889456276,20.99595213088399,171.9876136529245,149.2468358237658,156.49601973055994,166.33853142950733,79.51343839633991,78.2871909971137
arkaKol,30.582878184794527,25.883512238642602,172.86396816372468,143.13119631296829,150.55933715096057,164.53939333859486,83.96213140563259,79.99164535740508
arkaKol,34.46032165521811,26.85374574021388,171.87032603267255,140.56507083018818,151.53264542608164,165.82764833893322,83.39170219345478,79.4184708278507
arkaKol,34.20935774859143,26.356682379794336,157.04984655168437,132.8246645199783,155.09713640299728,166.97275176381086,80.92873887893964,80.06783918937829
arkaKol,38.775805311097145,23.395113179763843,156.63785881538118,119.5930353967655,156.09947338977747,168.53913975309564,81.67713931306595,80.3196954813788
arkaKol,39.49432756930608,19.50049199570626,148.25556804725736,109.31546028394953,157.55545277275547,170.2443924647969,81.55211972520739,79.30741871079533
arkaKol,41.000392260298156,17.415125324901506,118.68630488666932,101.7330740218143,162.3617696270278,171.58571169323974,78.59908214505865,78.68088972691432
arkaKol,52.37009059503454,16.981408446184833,113.56831999990666,95.51196355370854,159.99038757977902,172.1072116290092,82.11794675042123,79.38901578351812
arkaKol,65.73261175931549,17.375617607870396,115.37473885128374,91.82181146759868,160.09611814471046,172.05532744250266,82.246892990269,80.2201216335172
arkaKol,71.21397082883301,17.75293347670026,131.55047201785808,87.91107564707869,159.51509215502628,170.93461327859907,82.1035578344866,80.85838141536604
arkaKol,72.68822209854564,20.737599265369,133.54680501857166,89.60103889283793,158.9284168828726,171.25835652812313,81.81539894509973,80.91859404358166
arkaKol,75.47753548681438,24.074897636988826,124.06085395989928,92.51717987277479,159.27861896045857,170.53202390504734,81.15268803190114,81.26364795342275
arkaKol,76.10931741930769,26.96018748731392,124.64602634215105,96.49040299691183,159.65402115628063,171.1751300727684,80.67266931777938,81.57732384654301
arkaKol,65.99235708755448,27.553032505953777,138.26218132393225,107.40594731972745,159.70985197809046,171.94625808793347,81.64050407247008,82.18720050142653
arkaKol,52.784325058266525,22.538897027280697,143.7997365611647,110.98605364186955,163.9862560165308,175.16051468441256,79.47526780946707,80.28296259837379
arkaKol,46.89324264254807,16.237234593213394,175.46938914748728,118.9261987892803,156.53237506360747,177.36870901365285,87.56762752725251,75.20453970863412
arkaKol,43.25375790476666,19.958092205918454,175.90450325906397,135.55010722738442,155.39075936438337,179.46524111806272,87.59430473196507,76.50696964763965
arkaKol,41.59542714516425,23.563271486039408,178.79634314335692,149.50810672368004,148.86254014768863,175.4332282482217,93.12802622856981,77.43166810338967
arkaKol,28.48832094585561,18.702462830004773,168.49800326131657,156.74804849565288,149.5906828474817,176.15391147858264,93.76119731679424,73.33385633243081
arkaKol,24.14883955754564,17.256133991130426,162.11728443518888,159.2786042302744,149.3548180377536,179.24754005341111,91.80208146199746,74.91902290624407
arkaKol,24.22648623072268,17.148368471758214,149.1353302015233,153.35508760365462,150.6971419584546,175.42761035564993,89.22683526146987,77.95319662973156
arkaKol,23.88217542291992,17.12808144410829,147.96113907517187,145.9932073857404,150.76831882856828,174.120520195527,88.93084182651985,77.6431096255608
arkaKol,24.779885336604792,18.492914716341858,143.7963757218959,141.711824241458,149.1312111497015,173.3375034572273,90.45239607713314,77.48975973893583
arkaKol,27.588250539859747,17.93971309076583,152.9698022283167,131.73328479172994,146.69652602291407,173.8909988648588,92.87667344291114,76.65360618372816
arkaKol,30.65656985108044,16.916692838190812,163.81162614161076,121.09390985491136,140.03439652095665,174.56615603965366,100.13019948667073,75.9052042726015
arkaKol,33.9784259705347,13.390127231445872,144.88884319495332,109.47883484151829,144.2077252370851,179.76605378954721,96.82913394357769,72.17731390949132
arkaKol,37.61023334273379,13.507062281032283,137.92467895222353,102.63538172357683,154.1545471925537,177.5982733938642,87.7148164697563,74.82630668752972
arkaKol,56.056361907410675,20.80527605936944,134.91040951902787,103.50043274152742,162.53157237403346,175.83736148239683,81.25096961550264,76.25505223502573
arkaKol,65.78328005927003,24.023343810604125,132.38933865372192,104.15735369869816,160.57689561502946,172.57851317631815,83.45139125231785,80.35640076612175
